index,pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
38,6.8,41,0,0,0,0,255,medium
77,6.8,36,0,1,1,0,253,high
141,6.5,38,1,1,1,1,255,high
919,6.8,45,0,1,1,1,255,high
187,6.7,45,1,1,1,0,245,medium
367,6.8,41,0,0,1,0,255,medium
520,8.1,66,1,0,1,1,255,low
518,5.5,45,1,0,1,1,250,low
63,9.0,43,1,0,1,1,250,low
595,6.5,37,0,0,0,0,255,medium
215,6.5,38,1,0,1,0,255,medium
922,6.8,41,0,0,0,0,255,medium
241,6.6,38,0,0,0,0,255,medium
42,9.0,43,1,1,1,1,248,low
754,6.8,45,1,1,1,0,245,high
757,6.6,37,1,1,1,1,255,high
886,6.6,45,0,1,1,1,250,high
502,7.4,65,0,0,0,0,255,low
255,6.8,40,1,0,1,0,245,medium
136,6.5,37,0,0,0,0,245,medium
161,6.6,35,0,1,1,1,255,high
210,6.7,45,1,1,1,0,245,medium
203,6.8,40,1,0,1,0,245,medium
67,6.5,38,1,0,0,0,255,medium
973,8.6,55,0,1,1,1,255,low
505,6.6,38,0,0,0,0,255,medium
976,6.5,38,1,0,0,0,255,medium
233,8.5,70,0,0,0,0,246,low
728,4.5,38,0,1,1,1,255,low
423,6.7,45,1,1,1,0,245,medium
894,6.8,41,0,0,1,0,255,medium
400,6.5,37,0,0,0,0,245,medium
655,6.7,38,1,0,1,0,255,high
656,3.0,40,1,1,1,1,255,low
695,8.5,70,0,0,0,0,246,low
248,8.6,55,0,1,1,1,255,low
940,5.6,50,0,1,1,1,255,low
441,6.5,36,0,0,1,0,255,medium
413,6.8,45,1,1,1,0,245,high
382,9.0,43,1,0,1,1,250,low
587,6.8,40,1,1,1,1,255,high
36,8.6,55,0,1,0,0,255,low
332,6.5,37,0,0,0,0,255,medium
26,8.5,70,0,0,0,0,246,low
715,3.0,40,1,1,1,1,255,low
661,6.5,38,1,0,0,0,255,medium
733,6.7,45,1,1,0,0,247,medium
271,6.8,34,0,0,0,1,240,medium
350,6.5,38,1,0,0,0,255,medium
417,6.5,37,0,0,0,0,255,medium
245,6.7,38,1,0,1,0,255,high
393,6.5,36,0,0,1,0,255,medium
359,6.5,35,1,0,1,0,246,medium
19,6.8,40,1,0,1,0,245,medium
874,6.7,45,1,1,0,0,247,medium
709,6.6,43,1,0,1,1,250,high
556,6.5,38,1,0,0,0,255,medium
66,6.8,45,0,1,1,1,255,high
525,7.4,90,1,0,1,1,255,low
214,6.8,45,0,0,1,0,255,medium
405,6.5,38,1,1,1,1,255,high
455,6.6,50,0,0,0,0,255,low
59,6.8,45,0,0,1,0,255,medium
54,6.7,45,1,1,0,0,247,medium
926,9.0,43,1,1,1,1,248,low
769,3.0,40,1,1,1,1,255,low
7,4.5,60,0,1,1,1,250,low
785,6.7,45,1,1,1,0,245,medium
696,6.8,34,0,0,0,1,240,medium
537,9.0,43,1,1,1,1,248,low
111,6.6,43,1,0,1,1,250,high
853,6.6,38,0,0,0,0,255,medium
385,6.5,36,0,0,1,0,255,medium
499,6.5,37,0,0,0,0,245,medium
159,6.7,45,1,1,1,0,245,medium
1027,6.5,37,0,1,1,1,245,low
362,6.8,34,0,0,0,1,240,medium
398,8.5,70,0,0,0,0,246,low
872,6.5,40,1,0,0,0,250,medium
443,6.8,45,1,1,1,1,245,high
896,6.6,38,0,0,0,0,255,medium
246,3.0,40,1,1,1,1,255,low
282,6.6,37,1,1,1,1,255,high
895,6.5,38,1,1,1,1,255,high
234,6.8,34,0,0,0,1,240,medium
603,6.6,35,0,1,1,1,255,high
906,9.0,43,1,0,1,1,250,low
544,6.5,37,0,0,0,0,255,medium
866,6.6,38,0,0,0,0,255,medium
249,6.8,45,0,0,0,1,255,medium
609,6.8,45,0,1,1,1,255,high
650,6.8,45,0,1,0,0,240,medium
532,7.4,65,0,0,0,0,255,low
916,8.6,55,0,1,1,1,255,low
526,6.8,50,0,0,1,0,255,low
329,3.0,40,1,1,1,1,255,low
834,6.5,38,1,0,0,0,255,medium
729,6.8,45,1,1,1,1,245,high
766,6.8,45,0,0,1,0,255,medium
456,6.8,45,1,1,1,0,245,high
604,7.4,90,1,0,1,1,255,low
1052,6.5,40,1,0,0,0,250,medium
1041,6.6,40,1,0,0,0,255,medium
469,7.4,90,1,0,1,1,255,low
152,9.5,34,1,1,0,1,255,low
401,6.6,37,1,0,1,0,255,high
319,6.8,45,0,0,1,0,255,medium
149,6.8,45,1,1,1,0,245,high
1006,6.8,40,1,0,1,0,245,medium
996,6.7,38,1,0,1,0,255,high
201,3.0,40,1,1,1,1,255,low
800,9.0,43,1,0,1,1,250,low
708,3.0,40,1,1,1,1,255,low
989,6.5,37,0,0,0,0,245,medium
952,6.8,34,0,0,0,1,240,medium
204,6.5,37,0,0,0,0,255,medium
506,3.0,40,1,0,0,0,255,low
445,6.8,36,0,1,1,0,253,high
129,6.5,36,0,0,1,0,255,medium
1049,6.5,37,0,0,0,0,255,medium
552,6.8,43,1,0,1,0,250,high
167,6.8,45,0,1,1,1,255,high
1053,8.1,66,1,0,1,1,255,low
847,6.5,37,0,1,1,1,245,low
1000,6.8,45,0,0,0,1,255,medium
789,6.8,45,0,0,1,0,255,medium
425,6.6,35,0,1,1,1,255,high
486,6.8,45,1,1,1,1,245,high
225,9.0,43,1,0,1,1,250,low
647,6.8,34,0,0,0,1,240,medium
21,6.5,36,0,0,1,0,255,medium
935,5.5,45,1,0,1,1,250,low
177,6.5,36,0,0,0,0,247,medium
380,6.6,38,1,0,1,0,255,high
153,6.5,37,0,0,0,0,255,medium
637,3.0,40,1,1,1,1,255,low
951,8.5,70,0,0,0,0,246,low
270,8.5,70,0,0,0,0,246,low
877,6.8,43,1,0,1,0,250,high
961,9.0,43,1,1,1,1,248,low
387,6.5,38,1,0,0,0,255,medium
83,7.4,65,0,0,0,0,255,low
104,5.6,50,0,1,1,1,255,low
223,4.7,38,1,0,1,0,255,low
675,7.4,90,1,0,1,1,255,low
41,3.0,40,1,0,0,0,255,low
571,6.8,45,0,1,0,0,240,medium
308,9.5,34,1,1,0,1,255,low
132,6.5,35,1,0,1,0,246,medium
352,3.0,40,1,1,1,1,255,low
254,9.0,43,1,0,1,1,250,low
987,8.5,70,0,0,0,0,246,low
73,6.5,36,0,0,1,0,255,medium
691,4.5,38,0,1,1,1,255,low
191,6.8,45,0,0,1,0,255,medium
260,6.5,55,1,0,1,0,246,low
251,6.5,38,1,0,0,0,255,medium
492,6.5,36,0,0,1,0,255,medium
1054,6.7,45,1,1,0,0,247,medium
247,6.6,43,1,0,1,1,250,high
714,6.6,38,1,0,1,0,255,high
154,6.6,37,1,1,1,1,255,high
454,8.5,70,0,0,0,0,246,low
358,6.8,45,1,1,1,1,245,high
